model,model_version,scenario,region,layer,group,year,value,unit,source_regions,source_variables,source_file_id
IMAGE,3.4,SSP1-L,World,Secondary electricity,Biomass,2090,10.731501,EJ/yr,World,Secondary Energy|Electricity|Biomass,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Biomass,2100,12.587913,EJ/yr,World,Secondary Energy|Electricity|Biomass,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Nuclear,2020,9.635217,EJ/yr,World,Secondary Energy|Electricity|Nuclear,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Nuclear,2030,10.800720,EJ/yr,World,Secondary Energy|Electricity|Nuclear,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Nuclear,2040,8.281055,EJ/yr,World,Secondary Energy|Electricity|Nuclear,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Nuclear,2050,5.005421,EJ/yr,World,Secondary Energy|Electricity|Nuclear,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Nuclear,2060,4.510146,EJ/yr,World,Secondary Energy|Electricity|Nuclear,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Nuclear,2070,6.976545,EJ/yr,World,Secondary Energy|Electricity|Nuclear,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Nuclear,2080,11.107880,EJ/yr,World,Secondary Energy|Electricity|Nuclear,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Nuclear,2090,16.489240,EJ/yr,World,Secondary Energy|Electricity|Nuclear,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Nuclear,2100,18.570590,EJ/yr,World,Secondary Energy|Electricity|Nuclear,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Hydro,2020,15.647039,EJ/yr,World,Secondary Energy|Electricity|Hydro,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Hydro,2030,20.364089,EJ/yr,World,Secondary Energy|Electricity|Hydro,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Hydro,2040,24.622060,EJ/yr,World,Secondary Energy|Electricity|Hydro,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Hydro,2050,23.895331,EJ/yr,World,Secondary Energy|Electricity|Hydro,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Hydro,2060,20.623489,EJ/yr,World,Secondary Energy|Electricity|Hydro,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Hydro,2070,21.406231,EJ/yr,World,Secondary Energy|Electricity|Hydro,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Hydro,2080,20.266990,EJ/yr,World,Secondary Energy|Electricity|Hydro,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Hydro,2090,19.498600,EJ/yr,World,Secondary Energy|Electricity|Hydro,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Hydro,2100,19.645731,EJ/yr,World,Secondary Energy|Electricity|Hydro,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Solar,2020,3.023481,EJ/yr,World,Secondary Energy|Electricity|Solar|CSP; Secondary Energy|Electricity|Solar|PV|1; Secondary Energy|Electricity|Solar|PV|2,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Solar,2030,17.965346,EJ/yr,World,Secondary Energy|Electricity|Solar|CSP; Secondary Energy|Electricity|Solar|PV|1; Secondary Energy|Electricity|Solar|PV|2,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Solar,2040,48.807726,EJ/yr,World,Secondary Energy|Electricity|Solar|CSP; Secondary Energy|Electricity|Solar|PV|1; Secondary Energy|Electricity|Solar|PV|2,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Solar,2050,84.179145,EJ/yr,World,Secondary Energy|Electricity|Solar|CSP; Secondary Energy|Electricity|Solar|PV|1; Secondary Energy|Electricity|Solar|PV|2,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Solar,2060,114.238386,EJ/yr,World,Secondary Energy|Electricity|Solar|CSP; Secondary Energy|Electricity|Solar|PV|1; Secondary Energy|Electricity|Solar|PV|2,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Solar,2070,137.257845,EJ/yr,World,Secondary Energy|Electricity|Solar|CSP; Secondary Energy|Electricity|Solar|PV|1; Secondary Energy|Electricity|Solar|PV|2,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Solar,2080,150.973188,EJ/yr,World,Secondary Energy|Electricity|Solar|CSP; Secondary Energy|Electricity|Solar|PV|1; Secondary Energy|Electricity|Solar|PV|2,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Solar,2090,161.159052,EJ/yr,World,Secondary Energy|Electricity|Solar|CSP; Secondary Energy|Electricity|Solar|PV|1; Secondary Energy|Electricity|Solar|PV|2,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Solar,2100,170.856644,EJ/yr,World,Secondary Energy|Electricity|Solar|CSP; Secondary Energy|Electricity|Solar|PV|1; Secondary Energy|Electricity|Solar|PV|2,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Wind,2020,5.762558,EJ/yr,World,Secondary Energy|Electricity|Wind|1; Secondary Energy|Electricity|Wind|2,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Wind,2030,13.282209,EJ/yr,World,Secondary Energy|Electricity|Wind|1; Secondary Energy|Electricity|Wind|2,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Wind,2040,28.977480,EJ/yr,World,Secondary Energy|Electricity|Wind|1; Secondary Energy|Electricity|Wind|2,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Wind,2050,64.722538,EJ/yr,World,Secondary Energy|Electricity|Wind|1; Secondary Energy|Electricity|Wind|2,IMAGE 3.4_SSP1_L.xlsx
