model,model_version,scenario,region,year,stage,group,value,unit,source_regions,source_variables,source_file_id
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2030,Final electricity,Passenger transport,0.915811,EJ/yr,WEU; CEU,Final Energy|Transportation|Passenger|Bus|Electricity; Final Energy|Transportation|Passenger|Domestic Aviation|Electricity; Final Energy|Transportation|Passenger|International Aviation|Electricity; Final Energy|Transportation|Passenger|Light Duty Vehicle|Electricity; Final Energy|Transportation|Passenger|Rail (high speed)|Electricity; Final Energy|Transportation|Passenger|Rail (low speed)|Electricity,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2040,Final electricity,Passenger transport,2.373236,EJ/yr,WEU; CEU,Final Energy|Transportation|Passenger|Bus|Electricity; Final Energy|Transportation|Passenger|Domestic Aviation|Electricity; Final Energy|Transportation|Passenger|International Aviation|Electricity; Final Energy|Transportation|Passenger|Light Duty Vehicle|Electricity; Final Energy|Transportation|Passenger|Rail (high speed)|Electricity; Final Energy|Transportation|Passenger|Rail (low speed)|Electricity,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2050,Final electricity,Passenger transport,2.698959,EJ/yr,WEU; CEU,Final Energy|Transportation|Passenger|Bus|Electricity; Final Energy|Transportation|Passenger|Domestic Aviation|Electricity; Final Energy|Transportation|Passenger|International Aviation|Electricity; Final Energy|Transportation|Passenger|Light Duty Vehicle|Electricity; Final Energy|Transportation|Passenger|Rail (high speed)|Electricity; Final Energy|Transportation|Passenger|Rail (low speed)|Electricity,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2060,Final electricity,Passenger transport,2.847287,EJ/yr,WEU; CEU,Final Energy|Transportation|Passenger|Bus|Electricity; Final Energy|Transportation|Passenger|Domestic Aviation|Electricity; Final Energy|Transportation|Passenger|International Aviation|Electricity; Final Energy|Transportation|Passenger|Light Duty Vehicle|Electricity; Final Energy|Transportation|Passenger|Rail (high speed)|Electricity; Final Energy|Transportation|Passenger|Rail (low speed)|Electricity,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2070,Final electricity,Passenger transport,3.416540,EJ/yr,WEU; CEU,Final Energy|Transportation|Passenger|Bus|Electricity; Final Energy|Transportation|Passenger|Domestic Aviation|Electricity; Final Energy|Transportation|Passenger|International Aviation|Electricity; Final Energy|Transportation|Passenger|Light Duty Vehicle|Electricity; Final Energy|Transportation|Passenger|Rail (high speed)|Electricity; Final Energy|Transportation|Passenger|Rail (low speed)|Electricity,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2080,Final electricity,Passenger transport,3.822371,EJ/yr,WEU; CEU,Final Energy|Transportation|Passenger|Bus|Electricity; Final Energy|Transportation|Passenger|Domestic Aviation|Electricity; Final Energy|Transportation|Passenger|International Aviation|Electricity; Final Energy|Transportation|Passenger|Light Duty Vehicle|Electricity; Final Energy|Transportation|Passenger|Rail (high speed)|Electricity; Final Energy|Transportation|Passenger|Rail (low speed)|Electricity,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2090,Final electricity,Passenger transport,3.952226,EJ/yr,WEU; CEU,Final Energy|Transportation|Passenger|Bus|Electricity; Final Energy|Transportation|Passenger|Domestic Aviation|Electricity; Final Energy|Transportation|Passenger|International Aviation|Electricity; Final Energy|Transportation|Passenger|Light Duty Vehicle|Electricity; Final Energy|Transportation|Passenger|Rail (high speed)|Electricity; Final Energy|Transportation|Passenger|Rail (low speed)|Electricity,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2100,Final electricity,Passenger transport,3.810073,EJ/yr,WEU; CEU,Final Energy|Transportation|Passenger|Bus|Electricity; Final Energy|Transportation|Passenger|Domestic Aviation|Electricity; Final Energy|Transportation|Passenger|International Aviation|Electricity; Final Energy|Transportation|Passenger|Light Duty Vehicle|Electricity; Final Energy|Transportation|Passenger|Rail (high speed)|Electricity; Final Energy|Transportation|Passenger|Rail (low speed)|Electricity,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2020,Final electricity,Space heating,1.976105,EJ/yr,WEU; CEU,Final Energy|Residential|Space Heating|Electricity; Final Energy|Commercial|Space Heating|Electricity,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2030,Final electricity,Space heating,2.180196,EJ/yr,WEU; CEU,Final Energy|Residential|Space Heating|Electricity; Final Energy|Commercial|Space Heating|Electricity,IMAGE 3.4_SSP2_VLHO.xlsx
