case,system,pathway,commissioning_year,operation_year,period,view,contributor,score_total_kg_co2eq,score_per_net_tonne_kg_co2eq,denominator_net_stored_tonnes,rank,unit,provenance_id
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,activity,"wood chipping, mobile chipper, at forest road | FI",64967.0360983343,8.697380182556845,7469.724760178917,8,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,activity,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant | ENC",57489.79209786713,7.6963735537278515,7469.724760178917,9,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,activity,"harvesting, forestry harvester | FI",45363.9429442488,6.073040761298712,7469.724760178917,10,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,activity,treatment of sewage sludge by anaerobic digestion | RoW,41230.441126275065,5.51967340832616,7469.724760178917,11,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,activity,"heat production, softwood chips from forest, at furnace 1000kW | ENC",-34528.47124196084,-4.6224556259464915,7469.724760178917,12,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,activity,"heat production, softwood chips from forest, at furnace 1000kW, state-of-the-art 2014 | ENC",-32364.804718876843,-4.3327974936122855,7469.724760178917,13,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,activity,"heat production, light fuel oil, at industrial furnace 1MW | ENC",-26005.49802836026,-3.4814533149863167,7469.724760178917,14,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,activity,Other activities,219625.38826859646,29.40207240826581,7469.724760178917,15,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,location,SE,-8770974.75434823,-1174.2032050640303,7469.724760178917,1,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,location,ENC,1619048.0539875764,216.74802030440497,7469.724760178917,2,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,location,DK,-207937.85138362294,-27.837418119090422,7469.724760178917,3,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,location,FI,-159115.45109782842,-21.301380734411055,7469.724760178917,4,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,location,RoW,85887.69565960692,11.498107148134025,7469.724760178917,5,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,location,GLO,48513.58249397643,6.494694791513901,7469.724760178917,6,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,location,CHA,40264.55569390188,5.390366711843536,7469.724760178917,7,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,location,OAS,11349.681776310259,1.5194243617670335,7469.724760178917,8,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,location,Other locations,118790.06675232155,15.902870663399954,7469.724760178917,9,kg CO2-Eq,2c731982945ddbc6fc0c
